Job Title,Publish Date,Closing Date,Position Level,Year Experience,Number of Hiring,Salary Range (Min),Salary Range (Max),Gender,Age,Term,Job Category,Industry,Education Level,Language 1,Langue level 1,Langue 2,Language level 2,Language 3,Language level 3,Location 1,Location 2,Location 3,Location 4,Location 5,Location 6,Location 7,Duration of Recruiting,Major 1,Major 2,Major 3,Major 4
Front-end Coder (iOS Applications),"Wednesday, September 7, 2022","Friday, October 7, 2022",High Skill,3,3,,,Male/Female,Age Unlimited,Full-Time,IT,Architecture/Building/Construction,Graduated,English,Excellent,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
Senior App. Development Analysis,"Wednesday, September 7, 2022","Friday, October 7, 2022",High Skill,4,2,,,Male/Female,Age Unlimited,Full-Time,IT,Architecture/Building/Construction,Graduated,English,Excellent,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
IT Support Team Leader,"Saturday, August 27, 2022","Monday, September 26, 2022",High Skill,3,3,,,Male,At least 25,Full-Time,IT,Information Technology,Graduated,English,Excellent,,,,,Phnom Penh,,,,,,,30,Computer Science,Information Technology,,
Sales Outdoor Rose Plastic (300$-600$),"Saturday, August 27, 2022","Monday, September 26, 2022",Medium Skill,2,6,,,Male/Female,At least 18,Full-Time,Sales,Information Technology,Graduated,English,Excellent,,,,,Phnom Penh,,,,,,,30,Information Technology,,,
Telecom Field Operations Regional Manager,"Tuesday, August 30, 2022","Thursday, September 29, 2022",High Skill,4,2,,,Male/Female,At least 25,Full-Time,Telecommunication,Telecommunication,Graduated,English,Excellent,,,,,Phnom Penh,,,,,,,30,Telecoms and Networking,Information Technology,,
"Sales Executive ( IT Product ) , ($200-$300).","Monday, August 22, 2022","Wednesday, September 21, 2022",Low Skill,1,5,$200,$500,Male/Female,At least 18,Full-Time,Sales,General Business Services,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,,,
Software Tester (05),"Monday, August 15, 2022","Wednesday, September 14, 2022",Medium Skill,None,5,$500,$999,Male/Female,Age Unlimited,Full-Time,IT,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,Computer Science,,
Mobile Developer (05),"Monday, August 15, 2022","Wednesday, September 14, 2022",Medium Skill,None,5,"$1,000","$2,000",Male/Female,Age Unlimited,Full-Time,IT,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,Computer Science,,
SYSTEM OPERATOR,"Tuesday, August 16, 2022","Thursday, September 15, 2022",Medium Skill,2,5,$500,$999,Male/Female,Age Unlimited,Full-Time,IT,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,Computer Science,,
Mobile Developer (05),"Tuesday, August 16, 2022","Thursday, September 15, 2022",Medium Skill,None,5,"$1,000","$2,000",Male/Female,Age Unlimited,Full-Time,IT,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,Computer Science,,
Java Developer (10),"Monday, August 15, 2022","Wednesday, September 14, 2022",Medium Skill,None,10,"$1,000","$2,000",Male/Female,Age Unlimited,Full-Time,IT,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,Computer Science,,
SYSTEM OPERATOR,"Monday, August 15, 2022","Wednesday, September 14, 2022",Medium Skill,2,5,$500,$999,Male/Female,Age Unlimited,Full-Time,IT,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,Computer Science,,
Outdoor Sales Executive (Urgent),"Thursday, August 25, 2022","Saturday, September 24, 2022",Medium Skill,1,10,$200,$500,Male,At least 18,Full-Time,Sales,Information Technology,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,,,
Outdoor Sales Executive (Urgent),"Saturday, August 27, 2022","Monday, September 26, 2022",Medium Skill,None,10,$200,$500,Male/Female,At least 18,Full-Time,Sales,Information Technology,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,,,
Sales outdoor,"Saturday, August 27, 2022","Monday, September 26, 2022",Medium Skill,None,10,$200,$500,Male/Female,At least 18,Full-Time,Sales,Information Technology,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,,,
Sales Supervisor and Sales Executive (250$-400$ Plus Incentive),"Tuesday, September 6, 2022","Thursday, October 6, 2022",High Skill,2,4,,,Male/Female,Age Unlimited,Full-Time,Sales,Security/Fire/Electronic Access Controls,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,Computer Science,,
Software Developer (15 positions),"Friday, September 9, 2022","Sunday, October 9, 2022",Medium Skill,None,10,,,Male/Female,Age Unlimited,Full-Time,IT,Telecommunication,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,Computer Science,,
IT Application Developer,"Monday, August 15, 2022","Wednesday, September 14, 2022",Medium Skill,2,5,,,Male/Female,Age Unlimited,Full-Time,IT,Insurance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,,,
Product Owner (PO),"Monday, August 29, 2022","Wednesday, September 28, 2022",Medium Skill,2,4,,,Male/Female,At least 18,Full-Time,Technician/Maintenance,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,,,
Web Developer (05),"Monday, August 15, 2022","Wednesday, September 14, 2022",Medium Skill,2,5,,,Male/Female,Age Unlimited,Full-Time,IT,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,Computer Science,,
Data Analyst officer,"Monday, August 29, 2022","Wednesday, September 28, 2022",Medium Skill,1,5,,,Male/Female,At least 18,Full-Time,Technician/Maintenance,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Data Science,Computer Science,Information Technology,Telecoms and Networking
Senior/Lead Web Developer,"Thursday, September 8, 2022","Saturday, October 8, 2022",High Skill,3,4,,,Male/Female,Age Unlimited,Full-Time,IT,Information Technology,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,,,
Web Developer,"Thursday, September 1, 2022","Saturday, October 1, 2022",Medium Skill,3,5,,,Male/Female,At least 18,Full-Time,IT,Real Estate,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
Software Developer Executive,"Thursday, September 1, 2022","Saturday, October 1, 2022",High Skill,1,5,,,Male/Female,Age Unlimited,Full-Time,IT,Real Estate,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,,,
IT Staff,"Thursday, August 18, 2022","Saturday, September 17, 2022",Low Skill,1,4,,,Male/Female,At least 18,Full-Time,IT,Telecommunication,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,Information Technology,,
Graphic Designer ($300-$800),"Friday, August 12, 2022","Sunday, September 11, 2022",Medium Skill,3,5,,,Male/Female,At least 18,Full-Time,IT,Information Technology,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
Technical Software&Hardware Installation - Urgent (250-350),"Saturday, August 27, 2022","Monday, September 26, 2022",Low Skill,None,5,,,Male,Age Unlimited,Full-Time,IT,Information Technology,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,Computer Science,,
Software Developer,"Thursday, August 25, 2022","Saturday, September 24, 2022",Medium Skill,2,4,,,Male/Female,Age Unlimited,Full-Time,Bank/Insurance,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
"Officer, Software Developer","Tuesday, August 16, 2022","Thursday, September 15, 2022",Medium Skill,1,5,,,Male/Female,Age Unlimited,Full-Time,IT,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Computer Science,,,
"IT Officer ( $400 - $500 ),Boeng Keng Kang","Tuesday, August 30, 2022","Thursday, September 29, 2022",Low Skill,2,3,$200,$500,Male,At least 18,Full-Time,IT,General Business Services,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,,,
UIUX Designer,"Monday, August 29, 2022","Wednesday, September 28, 2022",Medium Skill,1,3,,,Male/Female,At least 18,Full-Time,Design,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,,,
Business Analysis Specialist,"Monday, August 15, 2022","Wednesday, September 14, 2022",Medium Skill,None,3,$500,$999,Male/Female,Age Unlimited,Full-Time,Management,Banking & Finance,Graduated,English,Good,,,,,Phnom Penh,,,,,,,30,Information Technology,Computer Science,,
