Job Title,Publish Date,Closing Date,Position Level,Year Experience,Number of Hiring,Salary Range (Min),Salary Range (Max),Gender,Age,Term,Job Category,Industry,Education Level,Language 1,Langue level 1,Langue 2,Language level 2,Language 3,Language level 3,Location 1,Location 2,Location 3,Location 4,Location 5,Location 6,Location 7,Duration of Recruiting,Major 1,Major 2,Major 3,Major 4
Marketing Officer,"Thursday, September 1, 2022","Saturday, October 1, 2022",Medium Skill,1,4,,,Male/Female,Age Unlimited,Full-Time,Marketing,Real Estate,Graduated,Khmer,Good,English,Good,,,Phnom Penh,,,,,,,30,Information Technology,,,
Database Administrator,"Monday, September 5, 2022","Wednesday, October 5, 2022",Medium Skill,2,5,,,Male/Female,Age Unlimited,Full-Time,IT,Banking & Finance,Graduated,English,Good,Chinese-Mandarin,Good,Korean,Good,Phnom Penh,,,,,,,30,Computer Science,Information Technology,,
Data Analysis,"Tuesday, August 23, 2022","Thursday, September 22, 2022",Medium Skill,2,2,,,Male/Female,Age Unlimited,Full-Time,Bank/Insurance,Banking & Finance,Graduated,None,,,,,,Kampong Speu,,,,,,,30,Information Technology,,,
IT Manager,"Friday, September 9, 2022","Saturday, September 24, 2022",Medium Skill,None,1,$200,$500,Male/Female,Age Unlimited,Full-Time,IT,Agriculture/Foresty/Fishing,Graduated,English,Good,,,,,Kampong Speu,,,,,,,15,Computer Science,,,
IT ( Basic salary 350+),"Friday, September 9, 2022","Saturday, September 24, 2022",Low Skill,None,1,,,Male/Female,Age Unlimited,Full-Time,IT,Agriculture/Foresty/Fishing,Graduated,English,Good,,,,,Kampong Speu,,,,,,,15,Information Technology,,,
IT SUPERVISOR,"Monday, August 29, 2022","Wednesday, September 28, 2022",Medium Skill,4,1,,,Male/Female,At least 30,Full-Time,IT,Architecture/Building/Construction,Graduated,English,Good,,,,,Phnom Penh,Phnom Penh,,,,,,30,Information Technology,,,
"JAVA Team Lead (Up to $1,500)","Wednesday, August 31, 2022","Friday, September 30, 2022",Medium Skill,None,2,,,Male/Female,Age Unlimited,Full-Time,IT,Information Technology,None,English,Good,,,,,Phnom Penh,Phnom Penh,,,,,,30,Computer Science,,,
Junior Roaming & Interconnect Administrator,"Saturday, September 3, 2022","Monday, October 3, 2022",Medium Skill,1,1,,,Male/Female,Age Unlimited,Full-Time,IT,Telecommunication,Graduated,English,Good,,,,,Phnom Penh,Phnom Penh,,,,,,30,Computer Science,,,
Junior Roaming & Interconnect Administrator,"Friday, September 2, 2022","Sunday, October 2, 2022",Medium Skill,1,1,,,Male/Female,Age Unlimited,Full-Time,IT,Telecommunication,Graduated,English,Good,,,,,Phnom Penh,Phnom Penh,,,,,,30,Computer Science,,,
Sales Corporate & SMB (Outdoor),"Saturday, August 27, 2022","Monday, September 26, 2022",Medium Skill,2,1,$200,$500,Male/Female,At least 18,Full-Time,Sales,Information Technology,Graduated,English,Excellent,,,,,Phnom Penh,Phnom Penh,,,,,,30,Information Technology,,,
Network Engineer,"Friday, September 9, 2022","Monday, September 19, 2022",Low Skill,None,1,,,Male/Female,Age Unlimited,Full-Time,IT,Information Technology,Graduated,English,Good,Chinese-Mandarin,Good,Khmer,Good,Bavet,Kampong Cham,Phnom Penh,Preah Sihanouk,Pursat,,,10,Information Technology,,,
Network Engineer,"Monday, September 5, 2022","Thursday, September 15, 2022",Low Skill,None,1,,,Male/Female,Age Unlimited,Full-Time,Architecture/Engineering,Information Technology,Graduated,English,Good,Khmer,Good,Chinese-Mandarin,Good,Bavet,Kampong Cham,Phnom Penh,Preah Sihanouk,Pursat,,,10,Information Technology,,,
